         n       time 
   2000000    3282443 
   2000000     112895 
   2000000        892 
   2000000       1338 
   2000000        892 
   2000000       1339 
   2000000       1785 
   2000000        892 
   2000000       1785 
   2000000        893 
   4000000        893 
   4000000       1338 
   4000000        893 
   4000000        892 
   4000000       1338 
   4000000        892 
   4000000        893 
   4000000       1785 
   4000000       1785 
   4000000       1338 
   6000000       1339 
   6000000        892 
   6000000       1339 
   6000000        893 
   6000000       1339 
   6000000        892 
   6000000       1339 
   6000000        893 
   6000000        893 
   6000000       2231 
   8000000        893 
   8000000        893 
   8000000        893 
   8000000        893 
   8000000        892 
   8000000        893 
   8000000        893 
   8000000        893 
   8000000        892 
   8000000       1338 
  10000000       2677 
  10000000       1784 
  10000000       1339 
  10000000       1338 
  10000000        893 
  10000000        893 
  10000000        892 
  10000000        893 
  10000000        892 
  10000000        892 
  12000000        893 
  12000000        893 
  12000000       1339 
  12000000        893 
  12000000       1339 
  12000000        893 
  12000000        893 
  12000000       1339 
  12000000        892 
  12000000       1338 
  14000000       1338 
  14000000        893 
  14000000       2231 
  14000000       1338 
  14000000       1338 
  14000000        892 
  14000000        893 
  14000000       1339 
  14000000       1339 
  14000000        893 
  16000000        892 
  16000000       1339 
  16000000        893 
  16000000        893 
  16000000        892 
  16000000       1339 
  16000000        892 
  16000000        892 
  16000000        892 
  16000000       1339 
  18000000        893 
  18000000       1339 
  18000000        893 
  18000000        892 
  18000000        893 
  18000000       1339 
  18000000        892 
  18000000        892 
  18000000        893 
  18000000        893 
  20000000       1338 
  20000000       1338 
  20000000        892 
  20000000       1339 
  20000000       1339 
  20000000        893 
  20000000        893 
  20000000        893 
  20000000       1339 
  20000000        892 
